date,dim,plan,pid,title,sku,img,imp,vexp,clk,cost,ctr,cpc,favP,favS,cart,coupon,ord,inq,lead,gmv,roi,leadCost,inqCost,leadCvr,inqCvr
2026-08-07,商品,大客方案,1068416821396,童贝童装2026年秋季新款儿童休闲裤花卉刺绣时尚潮流复古阔腿长裤,XQ6SK522,images/1068416821396.jpg,379.0,174.0,4.0,3.48,0.0106,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,商品,大客方案,1068454485091,童贝童装2026年秋季新款男女童T恤拼接条纹卡通印花简约休闲上衣,XQ6TX414,images/1068454485091.jpg,247.0,97.0,2.0,0.4,0.0081,0.2,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.0,1.0,0.0
2026-08-07,商品,大客方案,1068527109017,童贝童装2026年秋季新款男女童休闲裤工装风大口袋时尚百搭阔腿裤,XQ6SK523,images/1068527109017.jpg,220.0,105.0,3.0,3.36,0.0136,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,商品,大客方案,1068835889471,童贝童装2026年秋季新款儿童T恤条纹套头连帽男女童休闲百搭上衣,XQ6TX570,images/1068835889471.jpg,499.0,190.0,10.0,6.51,0.02,0.651,0.0,0.0,8.0,1.0,0.0,0.0,9.0,0.0,0.0,0.72,0.0,0.9,0.0
2026-08-07,商品,大客方案,1069452124224,童贝童装2026年秋季新款儿童T恤卡通字母印花拼接色时尚休闲上衣,XQ6TX406,images/1069452124224.jpg,88.0,47.0,1.0,0.0,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,商品,大客方案,1069781976475,童贝童装2026年秋季新款男女童T恤圆领撞色条纹印花基础百搭上衣,XQ6TX430,images/1069781976475.jpg,375.0,169.0,6.0,5.55,0.016,0.925,1.0,1.0,4.0,0.0,2.0,1.0,9.0,80.8,14.5586,0.62,5.55,1.5,0.1667
2026-08-07,商品,大客方案,1070261325304,童贝童装2026年秋季新款儿童冲锋衣撞色连帽休闲韩版防风开衫外套,XQ6WT483,images/1070261325304.jpg,304.0,147.0,9.0,12.85,0.0296,1.4278,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,4.28,12.85,0.3333,0.1111
2026-08-07,商品,大客方案,770764941054,【竹节棉】儿童T恤童贝童装2026夏季新款男女童卡通印花圆领短袖,3X4TX305,images/770764941054.jpg,12562.0,6261.0,148.0,107.37,0.0118,0.7255,3.0,7.0,25.0,0.0,1.0,0.0,36.0,38.9,0.3623,2.98,0.0,0.2432,0.0
2026-08-07,商品,大客方案,780162152938,【陶瓷T】儿童T恤童贝童装2026夏季新款男女童可爱卡通休闲短袖,3X4TX209,images/780162152938.jpg,1636.0,787.0,24.0,17.56,0.0147,0.7317,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.39,0.0,0.1667,0.0
2026-08-07,商品,大客方案,916074017130,童贝童装2026年夏季新款女童连衣裙全棉甜美娃娃领无袖荷叶边裙子,XX5LY270,images/916074017130.jpg,3596.0,1536.0,42.0,52.34,0.0117,1.2462,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,13.09,0.0,0.0952,0.0
2026-08-07,商品,大客方案,953710569619,【三防】童贝童装2026年秋季新款男女童休闲连帽外套撞色韩版上衣,XQ5WT359,images/953710569619.jpg,269.0,119.0,4.0,1.72,0.0149,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,商品,大客方案,954255276160,儿童马甲童贝童装2026年秋季新款男女童卡通刺绣时尚百搭针织背心,XQ5MY335,images/954255276160.jpg,152.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,商品,大客方案,954276788562,童贝童装2026年秋季新款女童甜美T恤蕾丝拼接中长款圆领打底衫,XQ5TX451,images/954276788562.jpg,98.0,54.0,3.0,3.94,0.0306,1.3133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,商品,大客方案,954590324698,儿童休闲裤童贝童装2026年秋季新款男女童宽松运动卫裤百搭束脚裤,XQ5XK339,images/954590324698.jpg,52.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,商品,大客方案,957234669597,童贝童装2026年秋季新款女童长袖T恤卡通休闲撞色插肩袖圆领上衣,XQ5TX302,images/957234669597.jpg,528.0,290.0,13.0,23.04,0.0246,1.7723,0.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,4.61,23.04,0.3846,0.0769
2026-08-07,总览,全部,,,,,33373.0,15723.0,452.0,407.15,0.0135,0.9008,10.0,12.0,116.0,4.0,6.0,6.0,154.0,,,2.64,67.86,0.3407,0.0133
2026-08-07,计划,全站推店,,,,,8.0,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-08-07,计划,大客方案,,,,,33365.0,15715.0,452.0,407.15,0.0135,0.9008,10.0,12.0,116.0,4.0,6.0,6.0,154.0,,,2.64,67.86,0.3407,0.0133
2026-08-07,计划,精准获客,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
